P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	Car-L1.1	IND6.1	V480	0.193671	0.211088	-0.022468	0.006723	602469
bic_1	SPC.3.1	Car-L1.1	MNZ1.1	V480	0.263146	0.283018	-0.024596	0.007051	586328
bic_1	SPC.3.1	Car-L1.1	MNZ2.1	V480	0.296255	0.314177	-0.024217	0.003853	582054
bic_1	SPC.3.1	Car-L1.1	ONC1.1	V480	0.250232	0.268591	-0.024978	0.004535	591681
bic_1	SPC.3.1	Car-L1.1	ONC2.1	V480	0.245989	0.263014	-0.022512	0.004963	592258
bic_1	SPC.3.1	Car-L1.1	ONC3.1	V480	0.193178	0.21093	-0.023718	0.006054	602823
bic_1	SPC.3.1	Car-L1.1	RED11.1	V480	0.212205	0.228832	-0.021542	0.005982	598629
bic_1	SPC.3.1	Car-L1.1	RED15.1	V480	0.255373	0.271989	-0.022659	0.003971	591216
bic_1	SPC.3.1	Car-L1.1	RED17.1	V480	0.201967	0.219256	-0.022067	0.006741	600953
bic_1	SPC.3.1	Car-L1.1	RED18.1	V480	0.203211	0.221249	-0.022973	0.00702	601033
bic_1	SPC.3.1	Car-L1.1	RED9.119	V480	0.236352	0.25477	-0.023509	0.006369	594669
bic_1	SPC.3.1	Car-L1.1	SHV.1.1	V480	0.292898	0.313638	-0.026453	0.005834	581807
bic_1	SPC.3.1	Car-L1.1	SLA1.1	V480	0.221401	0.239882	-0.024059	0.006251	597527
bic_1	SPC.3.1	Car-L1.1	SLA3.1	V480	0.210188	0.228679	-0.023943	0.006643	599521
bic_1	SPC.3.1	Car-L1.1	SLA5.1	V480	0.197905	0.216366	-0.024069	0.006826	600745
bic_1	SPC.3.1	Car-L1.1	WFM1.1	V480	0.253843	0.27455	-0.027952	0.005359	587835
bic_1	SPC.3.1	Car-L1.1	WFM2.2	V480	0.293673	0.31241	-0.023532	0.005768	581484
bic_1	SPC.3.1	Car-L1.1	WFM3.1	V480	0.287895	0.305301	-0.023488	0.003857	583595
bic_1	SPC.3.1	Car-L8.1b	ARS.1.1	V480	0.279491	0.297408	0.012526	0.039589	589505
bic_1	SPC.3.1	Car-L8.1b	ARS2.1	V480	0.275345	0.292948	0.013548	0.040191	587960
bic_1	SPC.3.1	Car-L8.1b	ARS3.1	V480	0.215656	0.233435	0.013005	0.041123	601421
bic_1	SPC.3.1	Car-L8.1b	CAR-C27.1	V480	0.260711	0.276312	0.01621	0.039918	596676
