CED2.1	LH217.1		0.131105
CED2.1	LH223.1		0.131619
CED2.1	LH266.1		0.137873
CED2.1	PPK1.1		0.136554
CED2.1	PPK5.1		0.135492
CED2.1	SNO8.1		0.144819
CED2.1	SPC.3.1		0.095734
CED2.1	SPC.5.1b		0.088823
CED2.1	YL51.1		0.091008
CED3.1	Car-L10.1		0.164643
CED3.1	Car-L1.1		0.16235
CED3.1	Car-L8.1b		0.16007
CED3.1	Holly		0.1471
CED3.1	HST1.1		0.165123
CED3.1	HST2.1		0.163251
CED3.1	IOM3.1.1		0.124549
CED3.1	JAC1.1		0.148628
CED3.1	JAC2.1		0.153841
CED3.1	JAC4.1		0.149252
CED3.1	LH217.1		0.150663
CED3.1	LH223.1		0.148009
CED3.1	LH266.1		0.156097
CED3.1	PPK1.1		0.154351
CED3.1	PPK5.1		0.15048
CED3.1	SNO8.1		0.16365
CED3.1	SPC.3.1		0.120303
CED3.1	SPC.5.1b		0.110013
CED3.1	YL51.1		0.113358
CUY1.1	Car-L10.1		0.168073
CUY1.1	Car-L1.1		0.171172
CUY1.1	Car-L8.1b		0.169504
CUY1.1	Holly		0.155627
CUY1.1	HST1.1		0.171182
CUY1.1	HST2.1		0.168473
CUY1.1	IOM3.1.1		0.121734
CUY1.1	JAC1.1		0.154886
CUY1.1	JAC2.1		0.158256
CUY1.1	JAC4.1		0.155069
CUY1.1	LH217.1		0.155017
CUY1.1	LH223.1		0.153634
CUY1.1	LH266.1		0.159277
CUY1.1	PPK1.1		0.156341
CUY1.1	PPK5.1		0.153962
CUY1.1	SNO8.1		0.170532
CUY1.1	SPC.3.1		0.120575
CUY1.1	SPC.5.1b		0.11026
CUY1.1	YL51.1		0.111715
CUY.2.1	Car-L10.1		0.169145
CUY.2.1	Car-L1.1		0.170207
CUY.2.1	Car-L8.1b		0.166769
CUY.2.1	Holly		0.15484
CUY.2.1	HST1.1		0.170912
CUY.2.1	HST2.1		0.170009
CUY.2.1	IOM3.1.1		0.125307
CUY.2.1	JAC1.1		0.150193
CUY.2.1	JAC2.1		0.155832
CUY.2.1	JAC4.1		0.151037
CUY.2.1	LH217.1		0.153455
CUY.2.1	LH223.1		0.15012
CUY.2.1	LH266.1		0.1577
CUY.2.1	PPK1.1		0.157052
CUY.2.1	PPK5.1		0.154111
CUY.2.1	SNO8.1		0.169355
CUY.2.1	SPC.3.1		0.123627
CUY.2.1	SPC.5.1b		0.113113
CUY.2.1	YL51.1		0.113039
CUY3.1	Car-L10.1		0.160421
CUY3.1	Car-L1.1		0.160092
CUY3.1	Car-L8.1b		0.158463
CUY3.1	Holly		0.146874
CUY3.1	HST1.1		0.159792
CUY3.1	HST2.1		0.156624
CUY3.1	IOM3.1.1		0.112049
CUY3.1	JAC1.1		0.145999
CUY3.1	JAC2.1		0.148972
CUY3.1	JAC4.1		0.144806
CUY3.1	LH217.1		0.145588
CUY3.1	LH223.1		0.143429
CUY3.1	LH266.1		0.150186
CUY3.1	PPK1.1		0.146638
CUY3.1	PPK5.1		0.144644
CUY3.1	SNO8.1		0.157748
CUY3.1	SPC.3.1		0.110604
CUY3.1	SPC.5.1b		0.09973
CUY3.1	YL51.1		0.10199
GRM4.1	Car-L10.1		0.16041
GRM4.1	Car-L1.1		0.159014
GRM4.1	Car-L8.1b		0.154227
GRM4.1	Holly		0.147111
GRM4.1	HST1.1		0.158564
GRM4.1	HST2.1		0.156857
GRM4.1	IOM3.1.1		0.115901
GRM4.1	JAC1.1		0.144177
GRM4.1	JAC2.1		0.148249
GRM4.1	JAC4.1		0.142558
GRM4.1	LH217.1		0.145558
GRM4.1	LH223.1		0.142572
GRM4.1	LH266.1		0.150157
GRM4.1	PPK1.1		0.148709
GRM4.1	PPK5.1		0.147744
GRM4.1	SNO8.1		0.156979
GRM4.1	SPC.3.1		0.112362
GRM4.1	SPC.5.1b		0.104556
GRM4.1	YL51.1		0.107447
GRM5.1	Car-L10.1		0.162248
GRM5.1	Car-L1.1		0.162515
GRM5.1	Car-L8.1b		0.157256
GRM5.1	Holly		0.149927
GRM5.1	HST1.1		0.162105
GRM5.1	HST2.1		0.159763
GRM5.1	IOM3.1.1		0.118454
GRM5.1	JAC1.1		0.148668
GRM5.1	JAC2.1		0.1539
GRM5.1	JAC4.1		0.147913
GRM5.1	LH217.1		0.15012
GRM5.1	LH223.1		0.147908
GRM5.1	LH266.1		0.154101
GRM5.1	PPK1.1		0.152754
GRM5.1	PPK5.1		0.152205
GRM5.1	SNO8.1		0.157563
GRM5.1	SPC.3.1		0.11618
GRM5.1	SPC.5.1b		0.106663
GRM5.1	YL51.1		0.11071
IND2.1	Car-L10.1		0.13981
IND2.1	Car-L1.1		0.13936
IND2.1	Car-L8.1b		0.137758
IND2.1	Holly		0.125628
IND2.1	HST1.1		0.141127
IND2.1	HST2.1		0.140081
IND2.1	IOM3.1.1		0.094771
IND2.1	JAC1.1		0.127128
IND2.1	JAC2.1		0.130541
IND2.1	JAC4.1		0.12703
IND2.1	LH217.1		0.126615
IND2.1	LH223.1		0.124796
IND2.1	LH266.1		0.129942
IND2.1	PPK1.1		0.129971
IND2.1	PPK5.1		0.126521
IND2.1	SNO8.1		0.140041
IND2.1	SPC.3.1		0.092632
IND2.1	SPC.5.1b		0.083717
IND2.1	YL51.1		0.088603
IND5.1	Car-L10.1		0.137883
IND5.1	Car-L1.1		0.135992
IND5.1	Car-L8.1b		0.134877
IND5.1	Holly		0.123589
IND5.1	HST1.1		0.139613
IND5.1	HST2.1		0.138485
IND5.1	IOM3.1.1		0.093617
IND5.1	JAC1.1		0.126006
IND5.1	JAC2.1		0.129396
IND5.1	JAC4.1		0.126145
IND5.1	LH217.1		0.124602
IND5.1	LH223.1		0.122864
IND5.1	LH266.1		0.127868
IND5.1	PPK1.1		0.128983
IND5.1	PPK5.1		0.125193
IND5.1	SNO8.1		0.137317
IND5.1	SPC.3.1		0.091939
IND5.1	SPC.5.1b		0.082727
IND5.1	YL51.1		0.086638
IND6.1	Car-L10.1		0.135364
IND6.1	Car-L1.1		0.132828
IND6.1	Car-L8.1b		0.130616
IND6.1	Holly		0.119884
IND6.1	HST1.1		0.136315
IND6.1	HST2.1		0.135341
IND6.1	IOM3.1.1		0.091478
IND6.1	JAC1.1		0.120971
IND6.1	JAC2.1		0.123769
IND6.1	JAC4.1		0.120169
IND6.1	LH217.1		0.119434
IND6.1	LH223.1		0.117312
IND6.1	LH266.1		0.123587
IND6.1	PPK1.1		0.124229
